City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,mikkeli,5,FI,1563409542,100,61.69,27.27,52.0,2.62
87,rio tercero,99,AR,1563409542,64,-32.17,-64.11,56.76,11.32
88,kondoa,33,TZ,1563409543,81,-4.91,35.78,55.86,6.08
89,padang,100,ID,1563409544,83,-0.92,100.36,81.06,12.88
90,busselton,57,AU,1563409544,79,-33.64,115.35,57.99,8.37
91,tocopilla,99,CL,1563409544,86,-22.09,-70.2,57.12,14.61
92,eyl,60,SO,1563409544,63,7.98,49.82,76.56,28.03
93,pishva,0,IR,1563409545,17,35.31,51.73,91.4,6.93
94,pevek,94,RU,1563409545,92,69.7,170.27,33.0,7.05
95,weligama,100,LK,1563409545,79,5.97,80.42,82.14,30.38
96,cabo san lucas,5,MX,1563409362,54,22.89,-109.91,93.99,12.75
97,bathsheba,20,BB,1563409528,83,13.22,-59.52,80.6,13.87
98,kapaa,90,US,1563409546,78,22.08,-159.32,87.8,13.87
99,codrington,0,AU,1563409546,51,-28.95,153.24,60.8,8.05
100,bilibino,98,RU,1563409299,71,68.06,166.44,41.82,7.23
101,mvuma,0,ZW,1563409548,36,-19.28,30.53,48.3,5.99
102,jinchang,97,CN,1563409548,66,38.52,102.19,61.8,9.01
103,bafia,100,CM,1563409548,98,4.74,11.22,68.28,2.98
104,cordoba,0,AR,1563409548,36,-27.78,-67.24,54.24,0.43
105,ondangwa,0,NA,1563409548,31,-17.91,15.98,60.8,3.36
106,rurrenabaque,19,BO,1563409548,97,-14.44,-67.53,63.6,3.02
107,alyangula,54,AU,1563409551,77,-13.85,136.42,69.8,3.36
108,saldanha,16,PT,1563409551,64,41.42,-6.55,68.28,2.55
109,gori,0,GE,1563409551,93,41.99,44.11,60.9,4.83
110,ambilobe,12,MG,1563409551,65,-13.19,49.05,65.22,8.05
111,kahului,40,US,1563409551,52,20.89,-156.47,87.8,27.51
112,praia da vitoria,20,PT,1563409552,83,38.73,-27.07,72.0,9.42
113,hithadhoo,93,MV,1563409552,66,-0.6,73.08,83.22,7.85
114,clyde river,90,CA,1563409552,100,70.47,-68.59,39.2,9.17
115,nemuro,75,JP,1563409319,100,43.32,145.57,66.2,9.17
116,haines junction,100,CA,1563409440,78,60.75,-137.51,53.16,5.86
117,tiksi,93,RU,1563409515,84,71.64,128.87,38.94,12.53
118,rio gallegos,40,AR,1563409554,86,-51.62,-69.22,39.2,3.36
119,bosaso,0,SO,1563409554,60,11.28,49.18,87.9,21.61
120,sao jose da coroa grande,7,BR,1563409554,91,-8.9,-35.15,68.1,2.89
121,high level,75,CA,1563409554,31,58.52,-117.13,78.8,4.7
122,kodiak,1,US,1563409333,27,39.95,-94.76,93.99,11.41
123,laguna,40,BZ,1563409555,79,16.17,-88.94,84.2,6.93
124,mitsamiouli,16,KM,1563409555,72,-11.38,43.28,78.0,20.98
125,kaitangata,67,NZ,1563409310,55,-46.28,169.85,50.0,8.01
126,arman,100,RU,1563409555,95,59.7,150.17,53.16,3.11
127,port macquarie,0,AU,1563409300,36,-31.43,152.91,61.0,14.99
128,butaritari,79,KI,1563409294,68,3.07,172.79,83.76,6.76
129,dunedin,87,NZ,1563409503,56,-45.87,170.5,48.48,5.37
130,kruisfontein,94,ZA,1563409556,53,-34.0,24.73,53.7,4.12
131,castro,0,CL,1563409556,81,-42.48,-73.76,42.8,5.82
132,provideniya,75,RU,1563409557,76,64.42,-173.23,57.2,13.42
133,umm lajj,0,SA,1563409557,60,25.02,37.27,88.8,5.06
134,rawson,33,AR,1563409557,45,-43.3,-65.11,49.2,32.17
135,porto velho,0,BR,1563409557,69,-8.75,-63.87,78.8,1.63
136,the valley,40,AI,1563409558,74,18.22,-63.06,84.2,13.87
